datetime_broken,breaker,strawberries,program,program_id
1722393482,BlackBox,25.7615819705,elastic_bell,49
1722246527,Idefix,0.0789062974,reverent_beaver,48
1721995453,kerckhoffs,0,peaceful_williams,47
1721931610,kerckhoffs,0,practical_franklin,42
1721891366,coderspace,0,dazzling_panini,46
1721890281,coderspace,0,compassionate_easley,40
1721645075,Idefix,0,dazzling_panini,46
1721639752,Idefix,25.7596445306,peaceful_williams,47
1721459783,kerckhoffs,1.3690987476,dazzling_panini,46
1721454616,bluecat,2.024693797,dazzling_panini,46
1721380455,Idefix,2.1594935356,romantic_visvesvaraya,43
1721372330,coderspace,0,focused_gary,20
1721352805,coderspace,0,epic_dijkstra,38
1721293139,BlackBox,18.7606300157,practical_franklin,42
1721292985,Idefix,17.3678495669,nifty_heisenberg,41
1721292935,Idefix,18.8147602017,practical_franklin,42
1721142089,patator,0,compassionate_easley,40
1721128910,patator,0,epic_dijkstra,38
1721118117,bluecat,0,compassionate_easley,40
1721034671,Idefix,0,compassionate_easley,40
1721031926,Idefix,0,competent_sammet,39
1721002923,nxmq,0,cool_dubinsky,15
1721002879,nxmq,0,sad_curran,10
1720991739,kerckhoffs,0,compassionate_easley,40
1720985737,BlackBox,0,gracious_mcnulty,13
1720985688,BlackBox,0,gifted_montalcini,29
1720985638,BlackBox,0.0279018913,compassionate_easley,40
1720984609,jibe,0,competent_sammet,39
1720937243,kerckhoffs,0.004667828,competent_sammet,39
1720936422,bluecat,0.0102448899,competent_sammet,39
1720935323,nxmq,0,blissful_raman,5
1720934843,nxmq,0,condescending_shockley,17
1720934703,nxmq,0,stupefied_varahamihira,16
1720934648,nxmq,0,goofy_archimedes,14
1720799774,Idefix,1.4685763356,musing_brown,37
1720795201,jibe,0,epic_dijkstra,38
1720768688,rod,0,epic_dijkstra,38
1720762828,kerckhoffs,0,gifted_montalcini,29
1720762812,kerckhoffs,0,distracted_leavitt,26
1720762793,kerckhoffs,0,jovial_wiles,25
1720762758,kerckhoffs,0,upbeat_bose,23
1720762726,kerckhoffs,0,serene_aryabhata,22
1720762706,kerckhoffs,0,elated_hodgkin,21
1720746856,Locomotive,0,condescending_shockley,17
1720746764,Locomotive,0,stupefied_varahamihira,16
1720746657,Locomotive,0,cool_dubinsky,15
1720746555,Locomotive,0,goofy_archimedes,14
1720746394,Locomotive,0,sad_curran,10
1720744634,Locomotive,0,blissful_raman,5
1720744127,Locomotive,0,adoring_albattani,1
1720736642,BlackBox,15.8187634235,musing_brown,37
1720734747,kerckhoffs,0,epic_dijkstra,38
1720734565,kerckhoffs,16.5377073488,musing_brown,37
1720709379,BugsBunny,0,epic_dijkstra,38
1720696461,Idefix,0.0225465736,epic_dijkstra,38
1720696355,bluecat,0.0236330014,epic_dijkstra,38
1720539637,rod,8.6343506013,serene_aryabhata,22
1720536923,rod,10.3672966191,distracted_leavitt,26
1720535481,rod,9.891751268,jovial_wiles,25
1720534969,Idefix,1.9663003456,gifted_montalcini,29
1720534146,Idefix,9.7860651647,serene_aryabhata,22
1720533904,Idefix,11.1073309245,distracted_leavitt,26
1720533695,Idefix,11.3573629837,upbeat_bose,23
1720533275,Idefix,10.4348721094,jovial_wiles,25
1720532296,Idefix,11.3894265231,lucid_roentgen,24
1720530396,rod,11.866661088,lucid_roentgen,24
1720526771,rod,2.7707837075,gifted_montalcini,29
1720525960,rod,13.3548233915,upbeat_bose,23
1720516768,Idefix,15.9740194355,elated_hodgkin,21
1720512586,rod,17.2398847364,elated_hodgkin,21
1720508116,BlackBox,16.1745936574,serene_aryabhata,22
1720508062,BlackBox,18.3610980589,distracted_leavitt,26
1720508016,BlackBox,18.6508601556,upbeat_bose,23
1720507651,BlackBox,18.4930878125,lucid_roentgen,24
1720507574,BlackBox,18.8033790812,elated_hodgkin,21
1720506745,kerckhoffs,18.7854641156,lucid_roentgen,24
1720504557,BlackBox,18.7563954124,jovial_wiles,25
1720466955,patator,0,focused_gary,20
1720424960,BlackBox,0,adoring_albattani,1
1720164824,BugsBunny,0,focused_gary,20
1720133045,rod,0,focused_gary,20
1720131468,jibe,0,focused_gary,20
1720125186,bluecat,0,focused_gary,20
1720125014,Idefix,0,focused_gary,20
1720124184,kerckhoffs,0.0006517726,focused_gary,20
1719991742,coderspace,0,gracious_mcnulty,13
1719925455,Cryptanalyse,0,condescending_shockley,17
1719925340,Cryptanalyse,0,stupefied_varahamihira,16
1719925267,Cryptanalyse,0,cool_dubinsky,15
1719925184,Cryptanalyse,0,goofy_archimedes,14
1719559839,coderspace,0,stupefied_varahamihira,16
1719559816,coderspace,0,condescending_shockley,17
1719559774,coderspace,0,goofy_archimedes,14
1719559729,coderspace,0,cool_dubinsky,15
1719558621,coderspace,0,infallible_khorana,19
1719557235,coderspace,0,sad_curran,10
1719556717,coderspace,0,blissful_raman,5
1719446803,patator,0,infallible_khorana,19
1719433235,jibe,0,infallible_khorana,19
1719385615,Anonymous,0,infallible_khorana,19
1719373676,coderspace,0,vigilant_wescoff,12
1719335577,rod,0,infallible_khorana,19
1719333538,bluecat,0.0013117287,infallible_khorana,19
1719332452,BugsBunny,0.0091170566,infallible_khorana,19
1719332102,kerckhoffs,0.0132798982,infallible_khorana,19
1719332027,Idefix,0.0140495902,infallible_khorana,19
1719303420,Mystiz_,0,cool_dubinsky,15
1719303402,Mystiz_,0,condescending_shockley,17
1719303190,Mystiz_,0,stupefied_varahamihira,16
1719198802,coderspace,0,adoring_albattani,1
1718970942,greencroc007A,0,goofy_archimedes,14
1718969953,greencroc007A,0,sad_curran,10
1718969850,greencroc007A,0,blissful_raman,5
1718969208,frxmwtnwyleicfawbn,0,sad_curran,10
1718969171,frxmwtnwyleicfawbn,0,condescending_shockley,17
1718969133,frxmwtnwyleicfawbn,0,stupefied_varahamihira,16
1718969116,frxmwtnwyleicfawbn,0,cool_dubinsky,15
1718969092,frxmwtnwyleicfawbn,0,goofy_archimedes,14
1718969067,frxmwtnwyleicfawbn,0,vigilant_wescoff,12
1718968995,frxmwtnwyleicfawbn,0,blissful_raman,5
1718968977,frxmwtnwyleicfawbn,0,adoring_albattani,1
1718968724,greencroc007A,0,adoring_albattani,1
1718885665,patator,0,condescending_shockley,17
1718885653,patator,0,stupefied_varahamihira,16
1718885639,patator,0,cool_dubinsky,15
1718885626,patator,0,goofy_archimedes,14
1718870549,rod,0,condescending_shockley,17
1718870416,rod,0,cool_dubinsky,15
1718870212,rod,0,stupefied_varahamihira,16
1718869866,rod,0,goofy_archimedes,14
1718869448,rod,0,blissful_raman,5
1718869166,rod,0,adoring_albattani,1
1718869096,rod,0,vigilant_wescoff,12
1718869033,rod,0,sad_curran,10
1718868921,Anonymous,0,condescending_shockley,17
1718868906,Anonymous,0,stupefied_varahamihira,16
1718868887,rod,0,gracious_mcnulty,13
1718868886,Anonymous,0,cool_dubinsky,15
1718868810,Anonymous,0,goofy_archimedes,14
1718802504,jibe,0,gracious_mcnulty,13
1718800655,jibe,0,condescending_shockley,17
1718800543,jibe,0,stupefied_varahamihira,16
1718800470,jibe,0,cool_dubinsky,15
1718800366,jibe,0,goofy_archimedes,14
1718794721,BugsBunny,0,stupefied_varahamihira,16
1718794698,BugsBunny,0,cool_dubinsky,15
1718794662,BugsBunny,0,goofy_archimedes,14
1718794627,BugsBunny,0,condescending_shockley,17
1718784333,Idefix,0,condescending_shockley,17
1718784309,Idefix,0,stupefied_varahamihira,16
1718784282,Idefix,0,cool_dubinsky,15
1718782114,Idefix,0,goofy_archimedes,14
1718743371,Sth,0,stupefied_varahamihira,16
1718743347,Sth,0,condescending_shockley,17
1718743318,Sth,0,cool_dubinsky,15
1718743281,Sth,0,goofy_archimedes,14
1718742906,bluecat,0,goofy_archimedes,14
1718742846,bluecat,0,cool_dubinsky,15
1718742778,bluecat,0,condescending_shockley,17
1718742697,bluecat,0,stupefied_varahamihira,16
1718741477,kerckhoffs,0.0000711075,condescending_shockley,17
1718740507,kerckhoffs,0.0000083004,stupefied_varahamihira,16
1718740119,kerckhoffs,0.0000757856,cool_dubinsky,15
1718740074,kerckhoffs,0.0007620521,goofy_archimedes,14
1718460562,BugsBunny,0,gracious_mcnulty,13
1718313967,Sth,0,vigilant_wescoff,12
1718313669,Sth,0,sad_curran,10
1718310115,bluecat,0,vigilant_wescoff,12
1718303475,bluecat,0,adoring_albattani,1
1718302204,bluecat,0,sad_curran,10
1718302174,bluecat,0,blissful_raman,5
1718119927,patator,0,gracious_mcnulty,13
1718058181,Sth,0,adoring_albattani,1
1717751408,Anonymous,0,gracious_mcnulty,13
1717663541,kerckhoffs,0.8082377432,gracious_mcnulty,13
1717662901,Idefix,0.8403075746,gracious_mcnulty,13
1717569961,jibe,0,vigilant_wescoff,12
1717520604,patator,0,vigilant_wescoff,12
1717512872,Anonymous,0,vigilant_wescoff,12
1717512771,kerckhoffs,0,vigilant_wescoff,12
1717510921,BugsBunny,0,vigilant_wescoff,12
1717510775,Idefix,0.0000097617,vigilant_wescoff,12
1717493235,patator,0,sad_curran,10
1717486806,Second,0,sad_curran,10
1717479167,Anonymous,0,sad_curran,10
1717433169,jibe,0,sad_curran,10
1717431253,BugsBunny,0,sad_curran,10
1717430521,kerckhoffs,0.0008673115,sad_curran,10
1717430510,Idefix,0.0008673115,sad_curran,10
1717335198,Sth,0,blissful_raman,5
1717163634,Second,0,adoring_albattani,1
1717073346,Anonymous,0,blissful_raman,5
1717065248,zeski,0,blissful_raman,5
1717010143,kerckhoffs,0,blissful_raman,5
1717007155,Cryptanalyse,0,blissful_raman,5
1717000547,jibe,0,blissful_raman,5
1717000420,CryptoMonkey,0,blissful_raman,5
1716998637,CryptoMonkey,0,adoring_albattani,1
1716998119,patator,0,blissful_raman,5
1716997081,BugsBunny,0.0004936766,blissful_raman,5
1716997012,MalcolmCarter,0.0006719487,blissful_raman,5
1716996946,Idefix,0.0008776472,blissful_raman,5
1716910531,kerckhoffs,0,adoring_albattani,1
1716898464,zeski,0,adoring_albattani,1
1716884268,Anonymous,0,adoring_albattani,1
1716882881,patator,0,adoring_albattani,1
1716839955,Cryptanalyse,0,adoring_albattani,1
1716816065,BugsBunny,0,adoring_albattani,1
1716811842,Idefix,0.000015466,adoring_albattani,1
1716811583,jibe,0.0003866501,adoring_albattani,1
